"id","repo","file_path","embed_method","content"
1,"https://github.com/ivan-magda/Habito","Habito/app/src/main/java/com/ivanmagda/habito/activity/HabitListActivity.java","kotlin_cannot_identify","HabitoAnalytics.logViewHabitListItem(habit) "
2,"https://github.com/ivan-magda/Habito","Habito/app/src/main/java/com/ivanmagda/habito/activity/EditHabitActivity.java","kotlin_cannot_identify","HabitoAnalytics.logCreateHabitWithName(editingHabit.record.name) "
3,"https://github.com/OneSignal/OneSignal-Android-SDK","OneSignal-Android-SDK/OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java","onAppFocus()","trackFirebaseAnalytics.trackInfluenceOpenEvent()"
4,"https://github.com/OneSignal/OneSignal-Android-SDK","OneSignal-Android-SDK/OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java","handleNotificationReceived(JSONArray,boolean,boolean)","trackFirebaseAnalytics.trackReceivedEvent(openResult)"
5,"https://github.com/OneSignal/OneSignal-Android-SDK","OneSignal-Android-SDK/OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java","handleNotificationOpen(Context,JSONArray,boolean,String)","trackFirebaseAnalytics.trackOpenedEvent(generateOsNotificationOpenResult(data, true, fromAlert))"
6,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/BillingManager.java","initialize(Context,AnalyticsManager,AdManager,CrashManager,BillingResult,List,SkuDetails)","analyticsManager.report(""purchase_init_query_failed"", ""code"", billingResult.getResponseCode())"
7,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/BillingManager.java","connectAndRun(Runnable,BillingResult)","analyticsManager.report(""purchase_init_success"")"
8,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/BillingManager.java","connectAndRun(Runnable,BillingResult)","analyticsManager.report(""purchase_init_failed"", ""code"", billingResult.getResponseCode())"
9,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/BillingManager.java","startPurchase(AppCompatActivity)","analyticsManager.report(""purchase_attempt"", ""code"", result.getResponseCode())"
10,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/BillingManager.java","onPurchasesUpdated(BillingResult,List,Purchase)","analyticsManager.report(""purchase_success"")"
11,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/BillingManager.java","onPurchasesUpdated(BillingResult,List,Purchase)","analyticsManager.report(FirebaseAnalytics.Event.ECOMMERCE_PURCHASE)"
12,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/BillingManager.java","onPurchasesUpdated(BillingResult,List,Purchase)","analyticsManager.report(FirebaseAnalytics.Event.REMOVE_FROM_CART)"
13,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/BillingManager.java","onPurchasesUpdated(BillingResult,List,Purchase)","analyticsManager.report(""purchase_abort"", ""code"", billingResult.getResponseCode())"
14,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onRewardedVideoAdLoaded()","analyticsManager.report(""ads_video_loaded"")"
15,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onRewardedVideoAdOpened()","analyticsManager.report(""ads_video_opened"")"
16,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onRewardedVideoStarted()","analyticsManager.report(""ads_video_started"")"
17,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onRewardedVideoAdClosed()","analyticsManager.report(""ads_video_closed"")"
18,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onRewarded(RewardItem)","analyticsManager.report(""ads_video_rewarded"")"
19,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onRewardedVideoAdLeftApplication()","analyticsManager.report(""ads_video_left"")"
20,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onRewardedVideoAdFailedToLoad(int)","analyticsManager.report(""ads_video_failed"", ""code"", i)"
21,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onRewardedVideoCompleted()","analyticsManager.report(""ads_video_completed"")"
22,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onAdFailedToLoad(int)","analyticsManager.report(""ads_"" + prefix + ""_failed"", ""code"", arg0)"
23,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onAdLoaded()","analyticsManager.report(""ads_"" + prefix + ""_loaded"")"
24,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onAdClicked()","analyticsManager.report(""ads_"" + prefix + ""_clicked"")"
25,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onAdImpression()","analyticsManager.report(""ads_"" + prefix + ""_impression"")"
26,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onAdClosed()","analyticsManager.report(""ads_"" + prefix + ""_closed"")"
27,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AdManager.java","onAdOpened()","analyticsManager.report(""ads_"" + prefix + ""_opened"")"
28,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AnalyticsManager.java","report(String)","report(event, null, null)"
29,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/nonfree/AnalyticsManager.java","report(String,String,Object)","report(event, key, value, null, null)"
30,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/background/FileLoader.java","callOnSuccess(Result)","analyticsManager.report(""loader_success_"" + type, FirebaseAnalytics.Param.CONTENT_TYPE, result.options.fileType, FirebaseAnalytics.Param.CONTENT, result.options.fileExtension)"
31,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/background/FileLoader.java","callOnError(Result,Throwable)","analyticsManager.report(""loader_error_"" + type, FirebaseAnalytics.Param.CONTENT_TYPE, result.options.fileType, FirebaseAnalytics.Param.CONTENT, result.options.fileExtension)"
32,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","initializeRatingDialog()","analyticsManager.report(""rating_yes"")"
33,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","initializeRatingDialog()","analyticsManager.report(""rating_no"")"
34,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","initializeRatingDialog()","analyticsManager.report(""rating_cancel"")"
35,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","initializeRatingDialog()","analyticsManager.report(""rating_show"")"
36,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","initializeCatchAllSwitch(CompoundButton,boolean)","analyticsManager.report(isCatchAllEnabled ? ""catch_all_enabled"" : ""catch_all_disabled"")"
37,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","handleIntent(Intent)","analyticsManager.report(FirebaseAnalytics.Event.SELECT_CONTENT, FirebaseAnalytics.Param.CONTENT_TYPE, ""other"")"
