,Keyword,Layout,LoggingLibrary,ProjectInfo,SearchResult
1,Firebase,Firebase,Firebase,VictorAlbertos/RxActivityResult,['/VictorAlbertos_RxActivityResult/README.md']
2,Firebase,Firebase,Firebase,maxyou/CalendarPicker,['/maxyou_CalendarPicker/.gitignore']
3,Firebase,Firebase,Firebase,wotomas/droid-vizu,['/wotomas_droid-vizu/.gitignore']
4,Firebase,Firebase,Firebase,pilehvar/ADW,"['/pilehvar_ADW/resources/WordNet-3.0/dict/data.noun', '/pilehvar_ADW/resources/WordNet-3.0/dict/index.noun', '/pilehvar_ADW/resources/WordNet-3.0/dict/index.sense']"
5,Firebase,Firebase,Firebase,yqpan1991/ExtendableRecyclerView,['/yqpan1991_ExtendableRecyclerView/.gitignore']
7,Firebase,Firebase,Firebase,Angtrim/Android-Five-Stars-Library,['/Angtrim_Android-Five-Stars-Library/.gitignore']
8,Firebase,Firebase,Firebase,mdg-iitr/RotatingText,['/mdg-iitr_RotatingText/.gitignore']
11,Firebase,Firebase,Firebase,vanyaland/Habito,"['/vanyaland_Habito/.gitignore', '/vanyaland_Habito/README.md', '/vanyaland_Habito/app/build.gradle', '/vanyaland_Habito/app/src/main/java/com/ivanmagda/habito/activity/EditHabitActivity.kt', '/vanyaland_Habito/app/src/main/java/com/ivanmagda/habito/activity/HabitListActivity.kt', '/vanyaland_Habito/app/src/main/java/com/ivanmagda/habito/analytics/HabitoAnalytics.kt', '/vanyaland_Habito/app/src/main/java/com/ivanmagda/habito/model/HabitRecord.kt', '/vanyaland_Habito/app/src/main/java/com/ivanmagda/habito/sync/FirebaseSyncUtils.kt', '/vanyaland_Habito/app/src/main/java/com/ivanmagda/habito/sync/WidgetFetchService.kt']"
12,Firebase,Firebase,Firebase,yangchong211/YCThreadPool,['/yangchong211_YCThreadPool/.gitignore']
13,Firebase,Firebase,Firebase,benoitletondor/EasyBudget,"['/benoitletondor_EasyBudget/Android/EasyBudget/app/app.iml', '/benoitletondor_EasyBudget/Android/EasyBudget/app/build.gradle', '/benoitletondor_EasyBudget/Android/EasyBudget/app/src/main/AndroidManifest.xml', '/benoitletondor_EasyBudget/Android/EasyBudget/app/src/main/java/com/benoitletondor/easybudgetapp/auth/FirebaseAuth.kt', '/benoitletondor_EasyBudget/Android/EasyBudget/app/src/main/java/com/benoitletondor/easybudgetapp/cloudstorage/FirebaseStorage.kt', '/benoitletondor_EasyBudget/Android/EasyBudget/app/src/main/java/com/benoitletondor/easybudgetapp/injection/AppModule.kt', '/benoitletondor_EasyBudget/Android/EasyBudget/app/src/main/java/com/benoitletondor/easybudgetapp/push/PushService.kt']"
